parent_id,formula_x,strain_percent,mp_id,formula_y,formation_energy_per_atom,magnetic_type,magnetic_moment,pred_formE,pred_magMom
mp-861872,Ac2HgGe,-3,mp-861872,Ac2HgGe,-0.583250138125002,NM,5e-07,-0.6165416661861566,0.006431232946740261
mp-861872,Ac2HgGe,0,mp-861872,Ac2HgGe,-0.583250138125002,NM,5e-07,-0.5780700122732277,-0.024510443628780527
mp-861872,Ac2HgGe,3,mp-861872,Ac2HgGe,-0.583250138125002,NM,5e-07,-0.5337455136325875,0.00318700874369645
mp-1183377,Ac2InGa,-3,mp-1183377,Ac2InGa,-0.5060674862499961,NM,2.2e-06,-0.47903597698907346,-0.061920637354861474
mp-1183377,Ac2InGa,0,mp-1183377,Ac2InGa,-0.5060674862499961,NM,2.2e-06,-0.467946482597185,-0.026140375353818846
mp-1183377,Ac2InGa,3,mp-1183377,Ac2InGa,-0.5060674862499961,NM,2.2e-06,-0.48218814908515506,-0.010009884848928475
mp-865951,Ac2IrAu,-3,mp-865951,Ac2IrAu,-0.695376886249995,NM,8e-07,-0.7482165022234728,0.07174013779548125
mp-865951,Ac2IrAu,0,mp-865951,Ac2IrAu,-0.695376886249995,NM,8e-07,-0.5942363643892624,0.1292447241020712
mp-865951,Ac2IrAu,3,mp-865951,Ac2IrAu,-0.695376886249995,NM,8e-07,-0.5764529941207598,0.3900089967147068
mp-866107,Ac2IrPd,-3,mp-866107,Ac2IrPd,-0.6663974312499971,NM,5.299999999999997e-06,-0.6809794971851021,0.020347551381927346
mp-866107,Ac2IrPd,0,mp-866107,Ac2IrPd,-0.6663974312499971,NM,5.299999999999997e-06,-0.6460898679298894,-0.003131239731296516
mp-866107,Ac2IrPd,3,mp-866107,Ac2IrPd,-0.6663974312499971,NM,5.299999999999997e-06,-0.6108963097291238,0.03209831424607196
mp-1183093,Ac2IrRh,-3,mp-1183093,Ac2IrRh,-0.534733513749998,NM,0.0008191,-0.5493703834768057,5.965817905591086e-05
mp-1183093,Ac2IrRh,0,mp-1183093,Ac2IrRh,-0.534733513749998,NM,0.0008191,-0.5168213182905277,-0.004083377037418906
